epoch,wins,losses,draws,win_rate,loss_rate,draw_rate
0,0,32,18,0.0,0.64,0.36
1,1,31,18,0.02,0.62,0.36
2,1,33,16,0.02,0.66,0.32
3,1,31,18,0.02,0.62,0.36
4,0,33,17,0.0,0.66,0.34
5,1,32,17,0.02,0.64,0.34
6,2,25,23,0.04,0.5,0.46
7,0,26,24,0.0,0.52,0.48
8,0,36,14,0.0,0.72,0.28
9,0,31,19,0.0,0.62,0.38
10,0,33,17,0.0,0.66,0.34
11,0,32,18,0.0,0.64,0.36
12,0,26,24,0.0,0.52,0.48
13,0,23,27,0.0,0.46,0.54
14,0,25,25,0.0,0.5,0.5
15,0,21,29,0.0,0.42,0.58
16,1,23,26,0.02,0.46,0.52
17,1,22,27,0.02,0.44,0.54
18,0,28,22,0.0,0.56,0.44
19,0,22,28,0.0,0.44,0.56
20,0,24,26,0.0,0.48,0.52
21,0,15,35,0.0,0.3,0.7
22,0,20,30,0.0,0.4,0.6
23,0,21,29,0.0,0.42,0.58
24,0,20,30,0.0,0.4,0.6
25,0,26,24,0.0,0.52,0.48
26,0,20,30,0.0,0.4,0.6
27,0,17,33,0.0,0.34,0.66
28,0,15,35,0.0,0.3,0.7
29,1,15,34,0.02,0.3,0.68
30,0,14,36,0.0,0.28,0.72
31,0,18,32,0.0,0.36,0.64
32,0,18,32,0.0,0.36,0.64
33,0,17,33,0.0,0.34,0.66
34,1,17,32,0.02,0.34,0.64
35,0,11,39,0.0,0.22,0.78
36,0,11,39,0.0,0.22,0.78
37,0,22,28,0.0,0.44,0.56
38,0,14,36,0.0,0.28,0.72
39,0,12,38,0.0,0.24,0.76
40,0,14,36,0.0,0.28,0.72
41,0,19,31,0.0,0.38,0.62
42,0,17,33,0.0,0.34,0.66
43,0,16,34,0.0,0.32,0.68
44,0,16,34,0.0,0.32,0.68
45,0,6,44,0.0,0.12,0.88
46,0,13,37,0.0,0.26,0.74
47,0,9,41,0.0,0.18,0.82
48,0,10,40,0.0,0.2,0.8
49,0,12,38,0.0,0.24,0.76
